page,link,author,source,title,date,category,subcategory
1907,https://github.com/lilbud/btx-article-dump/articles/concert_review/2002-12-04_come_on_rise_up_[1907].md,Scott Tady,Beaver County Times,"Come On, Rise Up!",2002-12-04,Concert Review,
1908,https://github.com/lilbud/btx-article-dump/articles/concert_review/2009-07-14_bruce_springsteen_rocks_55000_at_hampden_[1908].md,John Dingwall,The Daily Record,"Bruce Springsteen rocks 55,000 at Hampden Park Glasgow",2009-07-14,Concert Review,
1909,https://github.com/lilbud/btx-article-dump/articles/concert_review/2003-09-13_the_boss_walking_the_line_at_fedex_[1909].md,Joe Heim,Washington Post,"The Boss, Walking the Line at FedEx",2003-09-13,Concert Review,
1910,https://github.com/lilbud/btx-article-dump/articles/concert_review/2003-03-10_springsteen_pays_tribute_to_victims_of_[1910].md,Andy Smith,Providence Journal,Springsteen pays tribute to victims of West Warwick fire,2003-03-10,Concert Review,
1911,https://github.com/lilbud/btx-article-dump/articles/concert_review/2003-03-04_springsteen_inspires_his_own_roar_[1911].md,Nick Marino,Florida Times-Union,Springsteen inspires his own Jacksonville roar,2003-03-04,Concert Review,
1912,https://github.com/lilbud/btx-article-dump/articles/concert_review/2002-12-09_the_boss_goes_into_overdrive_in_columbia_[1912].md,Donna Isbell Walker,Greenville News,The Boss goes into overdrive in Columbia,2002-12-09,Concert Review,
1913,https://github.com/lilbud/btx-article-dump/articles/concert_review/2003-03-02_bruuuuce_bruuuuce_yawwnnn_yawwnnn_the_on_[1913].md,Michael Corcoran,Austin American-Statesman,"Bruuuuce! Bruuuuce! Yawwnnn Yawwnnn, The Boss dazzles on some songs, but drones on others",2003-03-02,Concert Review,
1914,https://github.com/lilbud/btx-article-dump/articles/concert_review/2002-12-17_the_boss_inspires_with_9_11_hymns_[1914].md,David Lindquist,The Indianapolis Star,'The Boss' inspires with 9/11 hymns,2002-12-17,Concert Review,
1915,https://github.com/lilbud/btx-article-dump/articles/commentary/2002-12-18_journey_with_the_boss_always_ends_in_of_[1915].md,Bernie Miklasz,St. Louis Today,Journey With The Boss Always Ends In Land Of Hope And Dreams,2002-12-18,Commentary,
2001,https://github.com/lilbud/btx-article-dump/articles/concert_review/2002-11-24_boss_rises_to_occasion_mixing_old_and_[2001].md,Curtis Ross,Tampa Tribune,"Boss Rises To Occasion, Mixing Old And New",2002-11-24,Concert Review,
2002,https://github.com/lilbud/btx-article-dump/articles/concert_review/2002-12-05_springsteen_outlasts_wild_toronto_fans_s_[2002].md,James McCarten,Canada Press,"Springsteen outlasts wild Toronto fans, Blue-collar guitar slinger earns hero's welcome",2002-12-05,Concert Review,
2003,https://github.com/lilbud/btx-article-dump/articles/concert_review/1992-11-13_bruce_springsteen_shows_that_he_s_no_the_[2003].md,Larry Hoyt,Syracuse Post,Bruce Springsteen Shows That He's No Longer the 'Boss',1992-11-13,Concert Review,
2004,https://github.com/lilbud/btx-article-dump/articles/concert_review/1992-08-18_springsteen_proves_he_s_still_in_charge_[2004].md,Gary Graff,Detroit Free Press,Springsteen proves he's still in charge - Palace show is perfect blend of old and new,1992-08-18,Concert Review,
2005,https://github.com/lilbud/btx-article-dump/articles/commentary/1992-04-03_soul_of_the_departed_springsteen_writes_[2005].md,Steve Erickson,Los Angeles Weekly,Soul of the Departed - Springsteen Writes A New Contract,1992-04-03,Commentary,
2006,https://github.com/lilbud/btx-article-dump/articles/concert_review/2009-05-21_a_hard_charger_preaches_from_a_bully_[2006].md,Nate Chinen,The New York Times,A Hard Charger Preaches From a Bully Pulpit,2009-05-21,Concert Review,
2007,https://github.com/lilbud/btx-article-dump/articles/concert_review/2009-05-14_the_boss_in_with_a_crash_boom_bang_[2007].md,Michael Eck,Albany Times Union,"The Boss in with a crash, boom, bang",2009-05-14,Concert Review,
2008,https://github.com/lilbud/btx-article-dump/articles/concert_review/2002-11-19_boss_puts_on_amazing_dynamic_show_[2008].md,Mary Colurso,Birmingham News,"'Boss' puts on amazing, dynamic show",2002-11-19,Concert Review,
2009,https://github.com/lilbud/btx-article-dump/articles/concert_review/2002-11-12_springsteen_still_rules_rock_s_roost_jam_[2009].md,Ron Rollins,Dayton Daily News,"Springsteen still rules rock's roost - Three-hour jam in Cincy proves his points, again",2002-11-12,Concert Review,
2010,https://github.com/lilbud/btx-article-dump/articles/concert_review/2002-08-21_as_always_the_boss_is_passionate_and_[2010].md,Gene Stout,Seattle Post-Intelligencer,"As always, the Boss is passionate and poignant",2002-08-21,Concert Review,
2011,https://github.com/lilbud/btx-article-dump/articles/album_review/tracks/1998-11-07_melinda-newman_billboard_[2011].md,Melinda Newman,Billboard,Tracks Review: Springsteen Backtracks - Columbia Box Surveys Music Off The Record,1998-11-07,Album Review,Tracks
2012,https://github.com/lilbud/btx-article-dump/articles/news/1999-02-01_springsteen_band_born_to_run_a_reunion_[2012].md,George Varga,Washington Times,"Springsteen, Band, Born To Run: A Reunion Tour",1999-02-01,News,
2013,https://github.com/lilbud/btx-article-dump/articles/opinion/1998-11-29_still_looking_for_the_human_touch_[2013].md,Roelof Aucamp,The Sunday Times,Still Looking For the Human Touch,1998-11-29,Opinion,
2014,https://github.com/lilbud/btx-article-dump/articles/album_review/the_ghost_of_tom_joad/1995-11-19_jon-pareles_the-new-york-times_[2014].md,Jon Pareles,The New York Times,The Ghost Of Tom Joad Review,1995-11-19,Album Review,The Ghost Of Tom Joad
2015,https://github.com/lilbud/btx-article-dump/articles/concert_review/1992-12-14_springsteen_rocks_amen_the_boss_church_a_[2015].md,Jim Sullivan,Boston Globe,"Springsteen rocks, amen - The Boss' church meeting at the Garden sends fans into a frenzy",1992-12-14,Concert Review,
2101,https://github.com/lilbud/btx-article-dump/articles/concert_review/2004-10-01_songs_of_protest_[2101].md,Randy Abramson,Newsweek,Songs of Protest,2004-10-01,Concert Review,
2102,https://github.com/lilbud/btx-article-dump/articles/concert_review/2004-12-02_springsteen_to_the_rescue_[2102].md,Brad Hundt,Rolling Stone,Springsteen to the Rescue,2004-12-02,Concert Review,
2103,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-07-19_the_genius_of_springsteen_on_display_[2103].md,Jeff Miers,Buffalo News,The genius of Springsteen on display,2005-07-19,Concert Review,
2104,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-07-23_the_boss_nails_it_all_by_himself_[2104].md,Nick Marino,Atlanta Journal-Constitution,The Boss nails it - all by himself,2005-07-23,Concert Review,
2105,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-07-24_springsteen_stands_alone_brilliantly_[2105].md,David Menconi,The News & Observer,Springsteen Stands Alone -- Brilliantly,2005-07-24,Concert Review,
2106,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-08-01_an_evening_with_the_boss_[2106].md,Rick Bird,The Cincinnati Post,An evening with The Boss,2005-08-01,Concert Review,
2107,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-04-04_bruce_s_show_spans_career_[2107].md,Richard Huff,New York Daily News,Bruce's show spans career,2005-04-04,Concert Review,
2108,https://github.com/lilbud/btx-article-dump/articles/news/2003-10-11_as_tour_ends_boss_remains_king_of_road_[2108].md,Ray Waddell,Reuters,"As Tour Ends, Boss Remains King of Road",2003-10-11,News,
2109,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-04-30_springsteen_captivates_glendale_crowd_[2109].md,Larry Rodgers,The Arizona Republic,Springsteen captivates Glendale crowd with acoustic show,2005-04-30,Concert Review,
2110,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-07-16_the_boss_and_only_the_boss_[2110].md,Michael Eck,Albany Times Union,"The Boss, and only the Boss",2005-07-16,Concert Review,
2111,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-05-11_springsteen_flies_solo_and_the_artist_[2111].md,Greg Kot,Chicago Tribune,Springsteen flies solo - and the artist soars,2005-05-11,Concert Review,
2112,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-05-20_springsteen_spellbinding_in_solo_show_[2112].md,Kevin O'Hare,The Republican,Springsteen spellbinding in solo show,2005-05-20,Concert Review,
2113,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-05-05_springsteen_plays_oakland_[2113].md,Brad Kava,Mercury News,Springsteen plays Oakland,2005-05-05,Concert Review,
2114,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-07-13_intimate_boss_rouses_mature_crowd_[2114].md,Allan Wigney,Ottawa Sun,Intimate Boss rouses mature crowd,2005-07-13,Concert Review,
2201,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-08-07_springsteen_keeps_it_quiet_[2201].md,Gemma Tarlach,Milwaukee Journal Sentinel,Springsteen keeps it quiet,2005-08-07,Concert Review,
2202,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-08-06_springsteen_enters_new_territory_yet_his_[2202].md,Vahe Gregorian,St. Louis Post Dispatch,Springsteen enters new territory yet reaffirms his roots at Fox,2005-08-06,Concert Review,
2203,https://github.com/lilbud/btx-article-dump/articles/concert_review/2006-04-30_springsteen_and_the_turning_of_a_tide_[2203].md,Randy Lewis,Los Angeles Times,Springsteen and 'the turning of a tide',2006-04-30,Concert Review,
2204,https://github.com/lilbud/btx-article-dump/articles/concert_review/2006-05-07_bruce_springsteen_m_e_n_arena_may_7_2006_[2204].md,Kevin Bourke,Manchester Evening News,"Bruce Springsteen @ M.E.N. Arena May 7, 2006",2006-05-07,Concert Review,
2205,https://github.com/lilbud/btx-article-dump/articles/concert_review/2006-05-08_folk_he_s_boss_of_that_too_[2205].md,Pete Paphides,The London Times,"Folk? He's boss of that, too",2006-05-08,Concert Review,
2206,https://github.com/lilbud/btx-article-dump/articles/concert_review/2006-06-06_springsteen_gives_old_folk_songs_and_a_a_[2206].md,Joel Selvin,San Francisco Chronicle,Springsteen gives old folk songs -- and a few of his own -- a mighty roar with his Seeger Sessions Band,2006-06-06,Concert Review,
2207,https://github.com/lilbud/btx-article-dump/articles/concert_review/2006-06-19_springsteen_ragged_but_right_[2207].md,Greg Haymes,Albany Times Union,Springsteen ragged but right,2006-06-19,Concert Review,
2208,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-08-11_quiet_now_the_boss_has_something_to_say_[2208].md,Gene Stout,Seattle Post-Intelligencer,Quiet now: The Boss has something to say,2005-08-11,Concert Review,
2209,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-08-13_springsteen_shows_who_s_the_boss_[2209].md,Tom Harrison,Vancouver Province,Springsteen shows who's The Boss,2005-08-13,Concert Review,
2210,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-08-13_bruce_springsteen_at_gm_place_on_august_[2210].md,Adrian Mack,Straight.com,"Bruce Springsteen at GM Place on Saturday, August 13",2005-08-13,Concert Review,
2211,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-10-07_the_boss_makes_arena_intimate_[2211].md,Ray Kelly,The Republican,The Boss makes arena intimate,2005-10-07,Concert Review,
2212,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-11-04_springsteen_gives_crowd_reason_to_[2212].md,Curtis Ross,The Tampa Tribune,Springsteen Gives Crowd 'Reason To Believe',2005-11-04,Concert Review,
2213,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-11-11_bruce_springsteen_at_the_constant_center_[2213].md,April Phillips,Virginian Pilot,Bruce Springsteen at the Constant Center,2005-11-11,Concert Review,
2214,https://github.com/lilbud/btx-article-dump/articles/album_review/born_to_run/2005-11-16_bill-zaferos_onmilwaukee-com_[2214].md,Bill Zaferos,OnMilwaukee.com,"Reissue re-establishes Springsteen's ""Born to Run"" as a cornerstone",2005-11-16,Album Review,Born To Run
2215,https://github.com/lilbud/btx-article-dump/articles/film_review/2005-12-02_documentary_shows_bruce_was_boss_[2215].md,Michael Heaton,The Plain Dealer,Documentary shows Bruce was boss,2005-12-02,Film Review,
2301,https://github.com/lilbud/btx-article-dump/articles/album_review/magic/2007-09-26_mel-evans_los-angeles-times_[2301].md,Mel Evans,Los Angeles Times,The Boss keeps the faith in 'Magic',2007-09-26,Album Review,Magic
2302,https://github.com/lilbud/btx-article-dump/articles/concert_review/2007-11-11_here_s_why_springsteen_is_still_the_[2302].md,Melissa Ruggieri,Richmond Times Dispatch,Here's why Springsteen is still the ultimate concert,2007-11-11,Concert Review,
2303,https://github.com/lilbud/btx-article-dump/articles/concert_review/2007-11-14_bruce_back_with_magic_show_[2303].md,Regis Behe,Pittsburgh Tribune-Review,Bruce back with 'Magic' show,2007-11-14,Concert Review,
2304,https://github.com/lilbud/btx-article-dump/articles/concert_review/2007-11-15_bruce_fills_stage_thrills_devoted_[2304].md,Casey Seiler,Albany Times Union,"Bruce fills stage, thrills devoted",2007-11-15,Concert Review,
2305,https://github.com/lilbud/btx-article-dump/articles/concert_review/2008-03-17_a_sad_time_in_milwaukee_[2305].md,Michael Muckian,The Capital Times,A Sad Time In Milwaukee,2008-03-17,Concert Review,
2306,https://github.com/lilbud/btx-article-dump/articles/concert_review/2008-03-22_springsteen_s_magic_[2306].md,Bill Thompson,Cincinnati Enquirer,Springsteen's 'Magic',2008-03-22,Concert Review,
2307,https://github.com/lilbud/btx-article-dump/articles/album_review/magic/2007-09-27_andy-gill_the-independent_[2307].md,Andy Gill,The Independent,Magic Review: Back at his barnstorming best,2007-09-27,Album Review,Magic
2308,https://github.com/lilbud/btx-article-dump/articles/concert_review/2007-10-02_springsteen_makes_old_new_new_old_[2308].md,Eric R. Danton,Hartford Courant,"Springsteen Makes Old New, New Old",2007-10-02,Concert Review,
2309,https://github.com/lilbud/btx-article-dump/articles/concert_review/2007-10-06_at_the_wachovia_center_the_boss_restored_[2309].md,Dan DeLuca,Philadelphia Inquirer,"At the Wachovia Center, the Boss restored one's faith in rock and roll",2007-10-06,Concert Review,
2310,https://github.com/lilbud/btx-article-dump/articles/concert_review/2007-10-18_songs_of_anguish_with_a_hopeful_beat_[2310].md,Jon Pareles,The New York Times,Songs of Anguish With a Hopeful Beat,2007-10-18,Concert Review,
2311,https://github.com/lilbud/btx-article-dump/articles/concert_review/2007-10-22_springsteen_delivers_a_leaner_show_with_[2311].md,Greg Kot,Chicago Tribune,"Springsteen delivers a leaner show, with guitars raised on high",2007-10-22,Concert Review,
2312,https://github.com/lilbud/btx-article-dump/articles/concert_review/2007-10-29_springsteen_still_rocking_without_a_net_[2312].md,Randy Lewis,Los Angeles Times,Springsteen still rocking without a net,2007-10-29,Concert Review,
2313,https://github.com/lilbud/btx-article-dump/articles/concert_review/2007-11-02_springsteen_fans_get_the_old_and_the_new_[2313].md,Rob Hubbard,Pioneer Press,Springsteen fans get the old and the new,2007-11-02,Concert Review,
2314,https://github.com/lilbud/btx-article-dump/articles/concert_review/2007-11-05_springsteen_brings_special_magic_to_near_[2314].md,Susan Whitall,Detroit News,Springsteen brings special 'Magic' to near-full Palace,2007-11-05,Concert Review,
2401,https://github.com/lilbud/btx-article-dump/articles/concert_review/2008-04-22_springsteen_band_find_tonic_to_tragedy_[2401].md,Curtis Ross,Tampa Tribune,"Springsteen, Band Find Tonic To Tragedy",2008-04-22,Concert Review,
2402,https://github.com/lilbud/btx-article-dump/articles/concert_review/2009-04-01_springsteen_e_street_band_fall_short_on_[2402].md,Shay Quillen,San Jose Mercury News,Springsteen & E Street Band fall short on opening-night show in San Jose,2009-04-01,Concert Review,
2403,https://github.com/lilbud/btx-article-dump/articles/commentary/2011-06-22_mighty_mighty_spade_and_whitey_clarence_[2403].md,Dave Marsh,Davemarsh.us,"Mighty Mighty, Spade And Whitey: Clarence and Bruce, Friendship and Race",2011-06-22,Commentary,
2404,https://github.com/lilbud/btx-article-dump/articles/film_review/2010-09-25_springsteen_steps_out_of_the_darkness_[2404].md,Shane Hegarty,Irish Times,Springsteen steps out of the Darkness,2010-09-25,Film Review,
2405,https://github.com/lilbud/btx-article-dump/articles/album_review/the_ghost_of_tom_joad/1995-11-20_roger-catlin_hartford-courant_[2405].md,Roger Catlin,Hartford Courant,Springsteen's 'Joad' revisits the disposessed,1995-11-20,Album Review,The Ghost of Tom Joad
2406,https://github.com/lilbud/btx-article-dump/articles/concert_review/2000-06-12_born_to_run_or_at_least_to_be_redeemed_[2406].md,Jon Pareles,The New York Times,"Born to Run, or at Least to Be Redeemed",2000-06-12,Concert Review,
2407,https://github.com/lilbud/btx-article-dump/articles/interview/2009-11-20_overtime_with_bruce_springsteen_[2407].md,Joe Heim,Washington Post,Overtime with Bruce Springsteen,2009-11-20,Interview,
2408,https://github.com/lilbud/btx-article-dump/articles/concert_review/2012-11-26_11_26_vancouver_a_good_companion_[2408].md,Charles R. Cross,Backstreets Magazine,"11/26, Vancouver: A Good Companion",2012-11-26,Concert Review,
2409,https://github.com/lilbud/btx-article-dump/articles/album_review/wrecking_ball/2012-03-06_ian-crouch_the-new-yorker_[2409].md,Ian Crouch,The New Yorker,The Original Wrecking Ball: Bruce Springsteen's 'Nebraska',2012-03-06,Album Review,Wrecking Ball
2410,https://github.com/lilbud/btx-article-dump/articles/book_review/2012-12-01_redemption_through_rock_and_roll_[2410].md,Wynn Wheldon,The Spectator,Redemption through rock and roll,2012-12-01,Book Review,
2411,https://github.com/lilbud/btx-article-dump/articles/concert_review/2012-11-28_bruce_springsteen_walks_with_the_ghosts_[2411].md,The Oregonian,Ryan White,Bruce Springsteen walks with the ghosts -- and the fans -- at the Rose Garden: Review,2012-11-28,Concert Review,
2501,https://github.com/lilbud/btx-article-dump/articles/commentary/1985-08-05_he_s_on_fire_america_s_latest_rock_and_[2501].md,Bill Barol,Newsweek,He's On Fire: America's latest rock-and-roll hero has the fans going wild about the Boss,1985-08-05,Commentary,
2502,https://github.com/lilbud/btx-article-dump/articles/interview/2009-06-05_bruce_springsteen_my_deal_with_the_devil_[2502].md,Leonardo Colombati,Vanity Fair,Bruce Springsteen: My Deal With The Devil,2009-06-05,Interview,
2503,https://github.com/lilbud/btx-article-dump/articles/interview/2010-11-15_ed_norton_interviews_bruce_springsteen_[2503].md,Edward Norton,NPR,Ed Norton Interviews Bruce Springsteen On 'Darkness',2010-11-15,Interview,
2504,https://github.com/lilbud/btx-article-dump/articles/interview/1998-03-01_doubletake_2003_interview_[2504].md,Will Percy,Doubletake Magazine,Doubletake 2003 Interview,1998-03-01,Interview,
2505,https://github.com/lilbud/btx-article-dump/articles/interview/2012-12-04_anaheim_2012_interview_[2505].md,Unknown,The Australian,Anaheim 2012 Interview,2012-12-04,Interview,
2506,https://github.com/lilbud/btx-article-dump/articles/interview/2012-12-01_e_street_serenade_bruce_springsteen_and_[2506].md,Rod Tootell,Rock's Backpages,"E Street Serenade: Bruce Springsteen, David Sancious and the E Street Shuffle",2012-12-01,Interview,
2507,https://github.com/lilbud/btx-article-dump/articles/concert_review/1978-06-10_bruce_springsteen_reborn_and_running_[2507].md,Harvey Kubernik,Melody Maker,Bruce Springsteen: Reborn and Running Again,1978-06-10,Concert Review,
2508,https://github.com/lilbud/btx-article-dump/articles/commentary/1989-02-23_walker_percy_s_fan_letter_to_bruce_[2508].md,Walker Percy,Doubletake Magazine,Walker Percy's Fan Letter to Bruce Springsteen,1989-02-23,Commentary,
2509,https://github.com/lilbud/btx-article-dump/articles/interview/1977-04-01_bruce_springsteen_s_longest_season_[2509].md,Robert Duncan,Creem,Bruce Springsteen's Longest Season,1977-04-01,Interview,
2510,https://github.com/lilbud/btx-article-dump/articles/interview/1988-01-01_trouble_in_the_heartland_[2510].md,Bill Flanagan,Point Blank Magazine,Trouble in the Heartland,1988-01-01,Interview,
2511,https://github.com/lilbud/btx-article-dump/articles/concert_review/2005-04-25_springsteen_s_solo_tour_gives_devils_its_[2511].md,John Soeder,Cleveland Plain Dealer,Springsteen's solo tour gives 'Devils' its due,2005-04-25,Concert Review,
2512,https://github.com/lilbud/btx-article-dump/articles/interview/2001-12-01_vh1_interview_[2512].md,Bill Flanagan,VH1,VH1 Interview,2001-12-01,Interview,
2513,https://github.com/lilbud/btx-article-dump/articles/interview/1981-04-29_rotterdam_ahoy_[2513].md,Constant Meijers,Muziekkrant Oor,Rotterdam Ahoy,1981-04-29,Interview,
2514,https://github.com/lilbud/btx-article-dump/articles/concert_review/1984-07-31_blue_collar_troubadour_[2514].md,Chet Flippo,People Magazine,Blue-Collar Troubadour,1984-07-31,Concert Review,
2515,https://github.com/lilbud/btx-article-dump/articles/concert_review/1992-09-02_ambitions_lies_beautiful_reward_bruce_s_[2515].md,Bill Flanagan,Musician,"Ambitions, Lies & Beautiful Reward: Bruce Springsteen's Family Values",1992-09-02,Interview,
2601,https://github.com/lilbud/btx-article-dump/articles/interview/2002-09-01_uncut_magzine_interview_[2601].md,Adam Sweeting,Uncut,Uncut Magzine Interview,2002-09-01,Interview,
2602,https://github.com/lilbud/btx-article-dump/articles/commentary/2012-03-30_bruce_springsteen_wall_street_s_wrecking_[2602].md,Monika Mitchell,Huffington Post,Bruce Springsteen & Wall Street's Wrecking Ball: A Contract With America,2012-03-30,Commentary,
2603,https://github.com/lilbud/btx-article-dump/articles/commentary/1985-10-06_confessions_of_a_springsteen_fanatic_[2603].md,Steve Pond,The Washington Post,Confessions Of A Springsteen Fanatic,1985-10-06,Commentary,
2604,https://github.com/lilbud/btx-article-dump/articles/essay/2013-01-06_the_truth_about_male_friendship_[2604].md,Sarfraz Manzoor,The Observer,The Truth About Male Friendship,2013-01-06,Essay,
2701,https://github.com/lilbud/btx-article-dump/articles/album_review/darkness_on_the_edge_of_town/2006-02-07_peter-watts_1001-albums-you-must-hear-before-you-die_[2701].md,Peter Watts,1001 Albums You Must Hear Before You Die,Darkness Review,2006-02-07,Album Review,Darkness on the Edge of Town
2702,https://github.com/lilbud/btx-article-dump/articles/interview/1995-11-21_bob_costas_interview_[2702].md,Bob Costas,Columbia Radio Hour,Bob Costas Interview,1995-11-21,Interview,
2703,https://github.com/lilbud/btx-article-dump/articles/album_review/darkness_on_the_edge_of_town/1981-10-01_robert-christgau_christgau-s-record-guide_[2703].md,Robert Christgau,Christgau's Record Guide,Darkness On The Edge of Town Review,1981-10-01,Album Review,Darkness On The Edge Of Town
2704,https://github.com/lilbud/btx-article-dump/articles/album_review/darkness_on_the_edge_of_town/1987-02-21_paul-gambaccini_the-top-100-rock-n-roll-albums-of-all-time_[2704].md,Paul Gambaccini,The Top 100 Rock 'n' Roll Albums of All Time,Darkness On The Edge of Town Review,1987-02-21,Album Review,Darkness On The Edge Of Town
2705,https://github.com/lilbud/btx-article-dump/articles/album_review/darkness_on_the_edge_of_town/1987-01-01_david-prakel_rock-n-roll-on-compact-disc_[2705].md,David Prakel,Rock 'n' Roll on Compact Disc,Darkness On The Edge of Town Review,1987-01-01,Album Review,Darkness On The Edge Of Town
2706,https://github.com/lilbud/btx-article-dump/articles/album_review/darkness_on_the_edge_of_town/1991-01-01_bill-shapiro_rock-roll-review-a-guide-to-good-rock-on-cd_[2706].md,Bill Shapiro,Rock & Roll Review: A Guide to Good Rock on CD,Darkness On The Edge of Town Review,1991-01-01,Album Review,Darkness On The Edge Of Town
2707,https://github.com/lilbud/btx-article-dump/articles/album_review/darkness_on_the_edge_of_town/1995-01-01_william-ruhlmann_the-all-music-guide-to-rock_[2707].md,William Ruhlmann,The All-Music Guide to Rock,Darkness On The Edge of Town Review,1995-01-01,Album Review,Darkness On The Edge Of Town
2708,https://github.com/lilbud/btx-article-dump/articles/album_review/darkness_on_the_edge_of_town/1995-01-01_john-floyd_the-all-music-guide-to-rock_[2708].md,John Floyd,The All-Music Guide to Rock,Darkness On The Edge of Town Review,1995-01-01,Album Review,Darkness On The Edge Of Town
2709,https://github.com/lilbud/btx-article-dump/articles/album_review/darkness_on_the_edge_of_town/1996-01-01_gary-graff_musichound-rock-the-essential-album-guide_[2709].md,Gary Graff,Musichound Rock: The Essential Album Guide,Darkness On The Edge of Town Review,1996-01-01,Album Review,Darkness On The Edge Of Town
2710,https://github.com/lilbud/btx-article-dump/articles/album_review/darkness_on_the_edge_of_town/2003-01-01_zagat_zagat-survey-music-guide-1000-top-albums-of-all-time_[2710].md,Zagat,"Zagat Survey Music Guide - 1,000 Top Albums of All Time",Darkness On The Edge of Town Review,2003-01-01,Album Review,Darkness On The Edge Of Town
2711,https://github.com/lilbud/btx-article-dump/articles/album_review/darkness_on_the_edge_of_town/2003-01-01_nevin-martell_vh1-s-100-greatest-albums_[2711].md,Nevin Martell,VH1's 100 Greatest Albums,Darkness On The Edge of Town Review,2003-01-01,Album Review,Darkness On The Edge Of Town
2712,https://github.com/lilbud/btx-article-dump/articles/album_review/darkness_on_the_edge_of_town/2003-12-11_rolling-stone_[2712].md,Rolling Stone,Rolling Stone,Rolling Stone's 500 Greatest Albums of All Time,2003-12-11,Album Review,Darkness on the Edge of Town
2713,https://github.com/lilbud/btx-article-dump/articles/other/2010-08-01_leader_of_the_pack_[2713].md,Keith Cameron,Mojo Magazine,Leader of the Pack,2010-08-01,Other,
2714,https://github.com/lilbud/btx-article-dump/articles/album_review/darkness_on_the_edge_of_town/2004-01-01_hamish-champ_the-100-best-selling-albums-of-the-70s_[2714].md,Hamish Champ,The 100 Best-Selling Albums of the 70s,Darkness On The Edge of Town Review,2004-01-01,Album Review,Darkness On The Edge Of Town
2715,https://github.com/lilbud/btx-article-dump/articles/concert_review/1988-02-29_bruce_s_wild_ride_on_the_express_way_of_[2715].md,Edna Gundersen,USA Today,Bruce's wild ride on the Express-way of Love,1988-02-29,Concert Review,
2716,https://github.com/lilbud/btx-article-dump/articles/interview/2004-08-05_springsteen_speaks_the_goal_is_very_[2716].md,Jay Lustig,The Star-Ledger,Springsteen speaks: 'The goal is very clear',2004-08-05,Interview,
2717,https://github.com/lilbud/btx-article-dump/articles/album_review/the_promise/2010-10-01_elysa-gardner_usa-today_[2717].md,Elysa Gardner,USA Today,Bruce Springsteen explores a time of 'Darkness',2010-10-01,Album Review,The Promise
2718,https://github.com/lilbud/btx-article-dump/articles/other/2006-01-01_you_talkin_to_me_[2718].md,Phil Sutcliffe,Mojo Magazine,You Talkin to Me?,2006-01-01,Other,
2719,https://github.com/lilbud/btx-article-dump/articles/interview/1976-01-01_springsteen_is_not_god_and_doesnaeurtmt_[2719].md,Robert Duncan,Creem,Springsteen is Not God (and Doesn't Want to Be),1976-01-01,Interview,
2720,https://github.com/lilbud/btx-article-dump/articles/album_review/darkness_on_the_edge_of_town/1978-06-02_billboard_[2720].md,Billboard,Billboard,Darkness on the Edge of Town review,1978-06-02,Album Review,Darkness On The Edge Of Town
2801,https://github.com/lilbud/btx-article-dump/articles/interview/1999-01-01_the_midnight_cowboy_[2801].md,Mark Hagen,Mojo Magazine,The Midnight Cowboy,1999-01-01,Interview,
2802,https://github.com/lilbud/btx-article-dump/articles/other/Unknown_some_random_quotes_[2802].md,Various,Various,Some random quotes,Unknown,Other,
2803,https://github.com/lilbud/btx-article-dump/articles/interview/1980-11-06_the_expressen_sweden_1980_interview_[2803].md,Unknown,The Expressen,"The Expressen, Sweden, 1980 Interview",1980-11-06,Interview,
2804,https://github.com/lilbud/btx-article-dump/articles/interview/1999-05-01_is_this_your_car_sir_[2804].md,Mark Blake,Q Magazine,"Is this your car, Sir?",1999-05-01,Interview,
2805,https://github.com/lilbud/btx-article-dump/articles/interview/1988-03-08_tunnel_tour_takes_him_on_career_detour_[2805].md,Edna Gundersen,USA Today,Tunnel Tour Takes Him On Career Detour,1988-03-08,Interview,
2806,https://github.com/lilbud/btx-article-dump/articles/interview/2003-02-28_springsteen_the_interview_[2806].md,Ken Tucker,Entertainment Weekly,Springsteen - The Interview,2003-02-28,Interview,
2807,https://github.com/lilbud/btx-article-dump/articles/interview/1980-10-09_the_stranger_[2807].md,Dave DiMartino,Creem Magazine,The Stranger,1980-10-09,Interview,
